Company Name,Final Balance,Total Return,Win Rate,Sharpe Ratio,Max Drawdown
INFY.NS,105127.4404296875,5.1274404296875,53.96825396825397,0.044046482943228,21.535576782226563
TCS.NS,106959.82958984375,6.95982958984375,47.88732394366197,0.04517713912910842,35.848279296875
RELIANCE.NS,106242.40710449219,6.242407104492187,52.17391304347826,0.02900795825437058,29.88163818359375
RELIANCE.NS,121758.4375,21.7584375,50.0,0.07716476462230668,33.054605224609375
TCS.NS,98680.01098632812,-1.319989013671875,47.88732394366197,-0.007126853249823132,39.10521899414062
RELIANCE.NS,137390.39306640625,37.390393066406254,50.72463768115942,0.1069919798546904,29.077149261606277
INFY.NS,147116.96459960938,47.116964599609375,61.904761904761905,0.21464748201281378,19.22666311840218
HDFCBANK.NS,283730.70654296875,183.73070654296873,62.83185840707964,0.28062980965659673,17.65766194017343
SBIN.NS,107067.91241455078,7.067912414550781,50.0,0.025858679435521486,26.73014087045692
KOTAKBANK.NS,101079.10458374023,1.0791045837402344,51.37614678899083,0.0040118988379275,26.774889484004426
BAJAJFINSV.NS,136525.73107910156,36.52573107910156,58.44155844155844,0.22844947273456506,9.71223504767046
NESTLEIND.NS,35662.12939453125,-64.33787060546875,41.843971631205676,-0.2506546225103657,70.24906368878156
TCS.NS,91720.10083007812,-8.279899169921876,46.478873239436616,-0.0858677423784674,16.468984130859372
TCS.NS,96524.31225585938,-3.475687744140625,46.478873239436616,-0.028606417636293135,13.13449755859375
TCS.NS,114306.892578125,14.306892578125,56.33802816901409,0.0989673995536365,9.174368408203124
TCS.NS,120563.76245117188,20.563762451171876,59.154929577464785,0.13506094841460609,11.990689697265625
TCS.NS,129762.564453125,29.762564453125,64.7887323943662,0.18186847596311573,16.204607177734374
TCS.NS,146585.77001953125,46.585770019531246,62.857142857142854,0.27324402807257425,20.0506201171875
TCS.NS,139206.08935546875,39.20608935546875,57.971014492753625,0.23054294888334548,26.106138183593753
